tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
photo;71339054219_10153114551849220;https://www.facebook.com/71339054219/posts/10153114551849220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153114551849220/?type=3;;URL NULL;
video;71339054219_10153114559909220;https://www.facebook.com/71339054219/posts/10153114559909220;https://www.facebook.com/lanacion/videos/10153114559909220/;;URL NULL;
link;71339054219_10153114566704220;https://www.facebook.com/71339054219/posts/10153114566704220;http://a.ln.com.ar/1OMRWu0;;URL NULL;
link;71339054219_10153114606164220;https://www.facebook.com/71339054219/posts/10153114606164220;http://a.ln.com.ar/1OMS6S4;;URL NULL;
link;71339054219_10153114687434220;https://www.facebook.com/71339054219/posts/10153114687434220;http://a.ln.com.ar/1KNGXT4;;URL NULL;
link;71339054219_10153114725574220;https://www.facebook.com/71339054219/posts/10153114725574220;http://a.ln.com.ar/1g3QQyx;;URL NULL;
link;71339054219_10153114775339220;https://www.facebook.com/71339054219/posts/10153114775339220;http://a.ln.com.ar/1OMPPX3;;URL NULL;
link;71339054219_10153114784874220;https://www.facebook.com/71339054219/posts/10153114784874220;http://a.ln.com.ar/1OMQnMx;;URL NULL;
link;71339054219_10153114881329220;https://www.facebook.com/71339054219/posts/10153114881329220;http://a.ln.com.ar/1g4Aaah;;URL NULL;
photo;71339054219_10153114885424220;https://www.facebook.com/71339054219/posts/10153114885424220;http://a.ln.com.ar/1M2NO9Y;;URL NULL;
photo;71339054219_10153114887164220;https://www.facebook.com/71339054219/posts/10153114887164220;http://a.ln.com.ar/1IVMlTY;;URL NULL;
photo;71339054219_10153114888219220;https://www.facebook.com/71339054219/posts/10153114888219220;http://a.ln.com.ar/1MJZwYA;;URL NULL;
photo;71339054219_10153114889919220;https://www.facebook.com/71339054219/posts/10153114889919220;http://a.ln.com.ar/1MJZwYA;;URL NULL;
photo;71339054219_10153114892544220;https://www.facebook.com/71339054219/posts/10153114892544220;http://a.ln.com.ar/1P3J7Nc;;URL NULL;
photo;71339054219_10153114918504220;https://www.facebook.com/71339054219/posts/10153114918504220;http://a.ln.com.ar/1DneuRA;;URL NULL;
link;71339054219_10153114931139220;https://www.facebook.com/71339054219/posts/10153114931139220;http://a.ln.com.ar/1OMZtJ7;;URL NULL;
link;71339054219_10153114993609220;https://www.facebook.com/71339054219/posts/10153114993609220;http://a.ln.com.ar/1g4LzXB;;URL NULL;
link;71339054219_10153115043859220;https://www.facebook.com/71339054219/posts/10153115043859220;http://a.ln.com.ar/1gHt1NX;;URL NULL;
photo;71339054219_10153115067734220;https://www.facebook.com/71339054219/posts/10153115067734220;http://a.ln.com.ar/1T01tik;;URL NULL;
link;71339054219_10153115076119220;https://www.facebook.com/71339054219/posts/10153115076119220;http://a.ln.com.ar/1ONnqA6;;URL NULL;
link;71339054219_10153115080044220;https://www.facebook.com/71339054219/posts/10153115080044220;http://a.ln.com.ar/1KOaOeg;;URL NULL;
link;71339054219_10153115099169220;https://www.facebook.com/71339054219/posts/10153115099169220;http://a.ln.com.ar/1gHyLqU;;URL NULL;
link;71339054219_10153115188189220;https://www.facebook.com/71339054219/posts/10153115188189220;http://a.ln.com.ar/1KOdGrk;;URL NULL;
link;71339054219_10153115206454220;https://www.facebook.com/71339054219/posts/10153115206454220;http://a.ln.com.ar/1gHFalY;;URL NULL;
photo;71339054219_10153115243454220;https://www.facebook.com/71339054219/posts/10153115243454220;http://a.ln.com.ar/1KOngdR;;URL NULL;
photo;71339054219_10153115268224220;https://www.facebook.com/71339054219/posts/10153115268224220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153115268224220/?type=3;;URL NULL;
link;71339054219_10153115282469220;https://www.facebook.com/71339054219/posts/10153115282469220;http://a.ln.com.ar/1g4J73k;;URL NULL;
link;71339054219_10153115309074220;https://www.facebook.com/71339054219/posts/10153115309074220;http://a.ln.com.ar/1KOgXqG;;URL NULL;
photo;71339054219_10153115366679220;https://www.facebook.com/71339054219/posts/10153115366679220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153115366679220/?type=3;;URL NULL;
link;71339054219_10153115396649220;https://www.facebook.com/71339054219/posts/10153115396649220;http://blogs.lanacion.com.ar/archivoscopio/archivoscopio/el-arquero-que-escucho-y-no-vio-un-penal/?utm_source=FB-blog&utm_medium=Cali&utm_campaign=archivoscopio;;URL NULL;
photo;71339054219_10153115401184220;https://www.facebook.com/71339054219/posts/10153115401184220;http://a.ln.com.ar/1KOR2MK;;URL NULL;
link;71339054219_10153115404999220;https://www.facebook.com/71339054219/posts/10153115404999220;http://a.ln.com.ar/1KOrzG1;;URL NULL;
photo;71339054219_10153115464034220;https://www.facebook.com/71339054219/posts/10153115464034220;http://a.ln.com.ar/1KOFFr4;;URL NULL;
link;71339054219_10153115495469220;https://www.facebook.com/71339054219/posts/10153115495469220;http://a.ln.com.ar/1ONX6WD;;URL NULL;
photo;71339054219_10153115567119220;https://www.facebook.com/71339054219/posts/10153115567119220;http://a.ln.com.ar/1UjmIOP;;URL NULL;
link;71339054219_10153115577249220;https://www.facebook.com/71339054219/posts/10153115577249220;http://a.ln.com.ar/1ONXxAe;;URL NULL;
link;71339054219_10153115603369220;https://www.facebook.com/71339054219/posts/10153115603369220;http://a.ln.com.ar/1g5Baeh;;URL NULL;
photo;71339054219_10153115604249220;https://www.facebook.com/71339054219/posts/10153115604249220;http://a.ln.com.ar/1IWojIo;;URL NULL;
photo;71339054219_10153115633514220;https://www.facebook.com/71339054219/posts/10153115633514220;http://a.ln.com.ar/1g61J2W;;URL NULL;
link;71339054219_10153115658039220;https://www.facebook.com/71339054219/posts/10153115658039220;http://a.ln.com.ar/1KOVfTv;;URL NULL;
link;71339054219_10153115688869220;https://www.facebook.com/71339054219/posts/10153115688869220;http://a.ln.com.ar/1KOHu7r;;URL NULL;
link;71339054219_10153115753144220;https://www.facebook.com/71339054219/posts/10153115753144220;http://a.ln.com.ar/1g6025t;;URL NULL;
link;71339054219_10153115787674220;https://www.facebook.com/71339054219/posts/10153115787674220;http://a.ln.com.ar/1KOVeyT;;URL NULL;
photo;71339054219_10153115788974220;https://www.facebook.com/71339054219/posts/10153115788974220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153115788974220/?type=3;;URL NULL;
link;71339054219_10153115844789220;https://www.facebook.com/71339054219/posts/10153115844789220;http://a.ln.com.ar/1OOoC6o;;URL NULL;
link;71339054219_10153115870184220;https://www.facebook.com/71339054219/posts/10153115870184220;http://a.ln.com.ar/1g5S8Jq;;URL NULL;
link;71339054219_10153115921909220;https://www.facebook.com/71339054219/posts/10153115921909220;http://a.ln.com.ar/1KOlLwi;;URL NULL;
link;71339054219_10153115948734220;https://www.facebook.com/71339054219/posts/10153115948734220;http://a.ln.com.ar/1g4Vqg1;;URL NULL;
photo;71339054219_10153115972009220;https://www.facebook.com/71339054219/posts/10153115972009220;http://a.ln.com.ar/1Um5EHU;;URL NULL;
link;71339054219_10153116004954220;https://www.facebook.com/71339054219/posts/10153116004954220;http://a.ln.com.ar/1gIS0jP;;URL NULL;
link;71339054219_10153116033859220;https://www.facebook.com/71339054219/posts/10153116033859220;http://a.ln.com.ar/1g6zzVq;;URL NULL;
link;71339054219_10153116098134220;https://www.facebook.com/71339054219/posts/10153116098134220;http://a.ln.com.ar/1KOjC3H;;URL NULL;
link;71339054219_10153116132474220;https://www.facebook.com/71339054219/posts/10153116132474220;http://a.ln.com.ar/1N8T2zB;;URL NULL;
